Address,Listing Price,Predicted Selling Price
"442 San Pietro Ln, Lodi, CA 95240",309900,306120
"3607 Ignacio Cir, Stockton, CA 95209-3900",288800,287392
"10207 Brando Ct, Stockton, CA 95209-3910",329999,334480
"831 Rubino Ct, Stockton, CA 95209-4355",349000,347910
"3808 Des Moines Dr, Stockton, CA 95209-3756",359900,356672
"3986 Vancouver Cir, Stockton, CA 95209-3732",365000,362007
"3738 Oak Shores Dr, Stockton, CA 95209-3763",369900,372720
"4132 Black Butte Cir, Stockton, CA 95209-3502",387000,384168
"4192 MADDIE Cir, Stockton, CA 95209-3805",395000,391255
"10952 Lands End Dr, Stockton, CA 95209-4289",405000,398249
"3442 Grandi Cir, Stockton, CA 95209-3913",415000,403007
"10118 Kayla Ave, Stockton, CA 95209",442990,435098
"10808 Sand Castle Way, Stockton, CA 95209-4273",460000,446583
"3653 Mammoth Cave Cir, Stockton, CA 95209-3606",485000,478554
"10814 St Moritz Cir, Stockton, CA 95209-4357",929000,836707
"10434 Arianne Dr, Stockton, CA 95209-4377",349000,349256
"6582 Crestview Cir, Stockton, CA 95219",359000,352342
"3831 OAK SHORES DRIVE, Stockton, CA 95209",475000,467609
"10450 Tank House Dr, Stockton, CA 95209-4338",394000,392834
"10804 Tank House, Stockton, CA 95209-4342",369900,366639
"1016 Cypress Run Dr, Stockton, CA 95209-4544",349900,347036
"3470 Tupelo Dr, Stockton, CA 95209-3743",345000,345764
"10162 Macon Dr, Stockton, CA 95209-4525",332800,332919
"2444 Mystic Ct, Stockton, CA 95209-4220",329900,330266
"10331 Lombard Ct, Stockton, CA 95209",329000,324070
"10652 Siskiyou, Stockton, CA 95209",310000,309686
"1363 Green Ridge Dr, Stockton, CA 95209-4537",319500,311940
"10716 Siskiyou Ln, Stockton, CA 95209-3802",339000,331876
"10846 Arrowood Dr, Stockton, CA 95219-7202",345000,344420
"10113 Capetown Ln, Stockton, CA 95219-7255",399950,392480
"10749 Savoy Cir, Stockton, CA 95209-4570",460000,448867
"5334 Asbury Way, Stockton, CA 95219-7162",450000,440818
"10713 Savoy Cir, Stockton, CA 95209-4570",425000,421843
"10482 River Oaks Dr, Stockton, CA 95209-4102",379900,371351
"3641 Oak Shores Dr, Stockton, CA 95209-3763",378000,372682
"166 Villa Point Dr, Stockton, CA 95209",360415,356863
"5449 Ridgeview Cir, Stockton, CA 95219",329000,324510
"10303 Oak Crest Ct, Stockton, CA 95209-4526",320000,314437
"3477 Mesa Verde Cir, Stockton, CA 95209",499000,484588
