Address,Listing Price,Predicted Selling Price
"442 San Pietro Ln, Lodi, CA 95240",309900,294965
"3607 Ignacio Cir, Stockton, CA 95209-3900",288800,258428
"10207 Brando Ct, Stockton, CA 95209-3910",329999,326590
"831 Rubino Ct, Stockton, CA 95209-4355",349000,343193
"3808 Des Moines Dr, Stockton, CA 95209-3756",359900,349106
"3986 Vancouver Cir, Stockton, CA 95209-3732",365000,355454
"3738 Oak Shores Dr, Stockton, CA 95209-3763",369900,351200
"4132 Black Butte Cir, Stockton, CA 95209-3502",387000,402411
"4192 MADDIE Cir, Stockton, CA 95209-3805",395000,407624
"10952 Lands End Dr, Stockton, CA 95209-4289",405000,405145
"3442 Grandi Cir, Stockton, CA 95209-3913",415000,407431
"10118 Kayla Ave, Stockton, CA 95209",442990,410091
"10808 Sand Castle Way, Stockton, CA 95209-4273",460000,419405
"3653 Mammoth Cave Cir, Stockton, CA 95209-3606",485000,474596
"10814 St Moritz Cir, Stockton, CA 95209-4357",929000,814995
"10434 Arianne Dr, Stockton, CA 95209-4377",349000,343253
"6582 Crestview Cir, Stockton, CA 95219",359000,344565
"3831 OAK SHORES DRIVE, Stockton, CA 95209",475000,439598
"10450 Tank House Dr, Stockton, CA 95209-4338",394000,414996
"10804 Tank House, Stockton, CA 95209-4342",369900,351200
"1016 Cypress Run Dr, Stockton, CA 95209-4544",349900,343253
"3470 Tupelo Dr, Stockton, CA 95209-3743",345000,334987
"10162 Macon Dr, Stockton, CA 95209-4525",332800,338755
"2444 Mystic Ct, Stockton, CA 95209-4220",329900,319130
"10331 Lombard Ct, Stockton, CA 95209",329000,315995
"10652 Siskiyou, Stockton, CA 95209",310000,316490
"1363 Green Ridge Dr, Stockton, CA 95209-4537",319500,296950
"10716 Siskiyou Ln, Stockton, CA 95209-3802",339000,337444
"10846 Arrowood Dr, Stockton, CA 95219-7202",345000,338134
"10113 Capetown Ln, Stockton, CA 95219-7255",399950,405416
"10749 Savoy Cir, Stockton, CA 95209-4570",460000,422050
"5334 Asbury Way, Stockton, CA 95219-7162",450000,415628
"10713 Savoy Cir, Stockton, CA 95209-4570",425000,410884
"10482 River Oaks Dr, Stockton, CA 95209-4102",379900,347715
"3641 Oak Shores Dr, Stockton, CA 95209-3763",378000,355083
"166 Villa Point Dr, Stockton, CA 95209",360415,343585
"5449 Ridgeview Cir, Stockton, CA 95219",329000,315995
"10303 Oak Crest Ct, Stockton, CA 95209-4526",320000,299807
"3477 Mesa Verde Cir, Stockton, CA 95209",499000,476399
