Address,Listing Price,Predicted Selling Price
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,355000
"708 S Church St, Lodi, CA 95240-4727",312000,110000
"651 Grant Ave, Lodi, CA 95240-0907",338000,110000
"137 S Ham Ln, Lodi, CA 95242",249000,180000
"701 N Roper Ave, Lodi, CA 95240-0925",270000,175000
"1005 S Pleasant Ave, Lodi, CA 95240",269950,175000
"418 N ham Ln, Lodi, CA 95242",269950,175000
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,175000
"500 S Orange, Lodi, CA 95240",282500,160000
"1121 S School St, Lodi, CA 95240-5706",349000,175000
"719 W Vine, Lodi, CA 95240",294888,175000
"1608 Brandywine Ct, Lodi, CA 95240-7401",349000,235000
"216 N Hutchins St, Lodi, CA 95240-1920",285000,180000
"1495 Centennial Dr, Lodi, CA 95242-4701",659500,300000
"1619 S Church St, Lodi, CA 95240-6205",249500,160000
"910 York St, Lodi, CA 95240-5103",274900,200000
"1235 S Pleasant Ave, Lodi, CA 95240-5725",250000,110000
"1209 S Fairmont Ave, Lodi, CA 95240-5518",289000,160000
"20 S Ham Ln, Lodi, CA 95242-3001",299000,175000
"741 S Church St, Lodi, CA 95240-4726",439000,250000
"616 Alicante Dr, Lodi, CA 95240-5607",219950,180000
"621 S Sacramento St, Lodi, CA 95240",169000,165000
"325 E Harney Ln, Lodi, CA 95240-6839",280000,170000
"311 E Harney Ln, Lodi, CA 95240-6839",320000,110000
"18 W Vine St, Lodi, CA 95240",239000,170000
"216 Hilborn St, Lodi, CA 95240-4118",229900,160000
"445 Almond Dr #37, Lodi, CA 95240-6341",115000,125000
"340 Eden St, Lodi, CA 95240-4112",184900,110000
"1828 Almondwood Pl, Lodi, CA 95240",244500,160000
"1863 Almondwood Pl, Lodi, CA 95240-8855",249900,195000
"211 Hartford Dr, Lodi, CA 95240-7895",321000,230000
"17 Sierra Vista Pl, Lodi, CA 95240-4740",249900,175000
"420 S School St, Lodi, CA 95240-4003",215000,110000
"1431 S Sacramento St, Lodi, CA 95240-6221",224000,175000
"1035 S Central Ave, Lodi, CA 95240",228000,110000
"437 Eden St, Lodi, CA 95240",169900,110000
"1300 S school, Lodi, CA 95240",249999,175000
"2514 Mercato Ln, Lodi, CA 95240-8908",299000,180000
"323 E Vine, Lodi, CA 95240",189900,110000
"549 Swallow Ln, Lodi, CA 95240-6388",309000,200000
"612 S Central ave, Lodi, CA 95240",185000,175000
"169 Mulberry Cir, Lodi, CA 95240-7158",239000,160000
"1848 Blackbird Pl, Lodi, CA 95240-8861",299000,230000
"204 Cherry St, Lodi, CA 95240-4804",319950,110000
"2139 Jayhawk, Lodi, CA 95240",340000,175000
"736 Golden Ave, Lodi, CA 95240",359000,160000
"683 Sandpiper Cir, Lodi, CA 95240-8803",295000,200000
"1035 Woodrow St, Lodi, CA 95240-4322",235000,175000
"2111 Squire Way, Lodi, CA 95240",315000,230000
"1842 Robin Ln, Lodi, CA 95240-7825",349000,200000
"442 San Pietro Ln, Lodi, CA 95240",309900,230000
