Address,Listing Price,Predicted Selling Price
"442 San Pietro Ln, Lodi, CA 95240",309900,304773
"3607 Ignacio Cir, Stockton, CA 95209-3900",288800,288457
"10207 Brando Ct, Stockton, CA 95209-3910",329999,331810
"831 Rubino Ct, Stockton, CA 95209-4355",349000,346134
"3808 Des Moines Dr, Stockton, CA 95209-3756",359900,354401
"3986 Vancouver Cir, Stockton, CA 95209-3732",365000,363605
"3738 Oak Shores Dr, Stockton, CA 95209-3763",369900,368623
"4132 Black Butte Cir, Stockton, CA 95209-3502",387000,385058
"4192 MADDIE Cir, Stockton, CA 95209-3805",395000,388890
"10952 Lands End Dr, Stockton, CA 95209-4289",405000,394843
"3442 Grandi Cir, Stockton, CA 95209-3913",415000,401317
"10118 Kayla Ave, Stockton, CA 95209",442990,439970
"10808 Sand Castle Way, Stockton, CA 95209-4273",460000,441505
"3653 Mammoth Cave Cir, Stockton, CA 95209-3606",485000,480518
"10814 St Moritz Cir, Stockton, CA 95209-4357",929000,825314
"10434 Arianne Dr, Stockton, CA 95209-4377",349000,347360
"6582 Crestview Cir, Stockton, CA 95219",359000,352992
"3831 OAK SHORES DRIVE, Stockton, CA 95209",475000,462748
"10450 Tank House Dr, Stockton, CA 95209-4338",394000,390512
"10804 Tank House, Stockton, CA 95209-4342",369900,368440
"1016 Cypress Run Dr, Stockton, CA 95209-4544",349900,348978
"3470 Tupelo Dr, Stockton, CA 95209-3743",345000,343873
"10162 Macon Dr, Stockton, CA 95209-4525",332800,332649
"2444 Mystic Ct, Stockton, CA 95209-4220",329900,327626
"10331 Lombard Ct, Stockton, CA 95209",329000,325551
"10652 Siskiyou, Stockton, CA 95209",310000,309266
"1363 Green Ridge Dr, Stockton, CA 95209-4537",319500,312088
"10716 Siskiyou Ln, Stockton, CA 95209-3802",339000,331759
"10846 Arrowood Dr, Stockton, CA 95219-7202",345000,343856
"10113 Capetown Ln, Stockton, CA 95219-7255",399950,387786
"10749 Savoy Cir, Stockton, CA 95209-4570",460000,445655
"5334 Asbury Way, Stockton, CA 95219-7162",450000,441371
"10713 Savoy Cir, Stockton, CA 95209-4570",425000,420735
"10482 River Oaks Dr, Stockton, CA 95209-4102",379900,369693
"3641 Oak Shores Dr, Stockton, CA 95209-3763",378000,369670
"166 Villa Point Dr, Stockton, CA 95209",360415,356087
"5449 Ridgeview Cir, Stockton, CA 95219",329000,323062
"10303 Oak Crest Ct, Stockton, CA 95209-4526",320000,314189
"3477 Mesa Verde Cir, Stockton, CA 95209",499000,482268
