Address,Listing Price,Predicted Selling Price
"442 San Pietro Ln, Lodi, CA 95240",309900,308252
"3607 Ignacio Cir, Stockton, CA 95209-3900",288800,288706
"10207 Brando Ct, Stockton, CA 95209-3910",329999,328658
"831 Rubino Ct, Stockton, CA 95209-4355",349000,346974
"3808 Des Moines Dr, Stockton, CA 95209-3756",359900,357897
"3986 Vancouver Cir, Stockton, CA 95209-3732",365000,363156
"3738 Oak Shores Dr, Stockton, CA 95209-3763",369900,367480
"4132 Black Butte Cir, Stockton, CA 95209-3502",387000,385590
"4192 MADDIE Cir, Stockton, CA 95209-3805",395000,392385
"10952 Lands End Dr, Stockton, CA 95209-4289",405000,401967
"3442 Grandi Cir, Stockton, CA 95209-3913",415000,412345
"10118 Kayla Ave, Stockton, CA 95209",442990,437825
"10808 Sand Castle Way, Stockton, CA 95209-4273",460000,456395
"3653 Mammoth Cave Cir, Stockton, CA 95209-3606",485000,479893
"10814 St Moritz Cir, Stockton, CA 95209-4357",929000,912777
"10434 Arianne Dr, Stockton, CA 95209-4377",349000,349229
"6582 Crestview Cir, Stockton, CA 95219",359000,356593
"3831 OAK SHORES DRIVE, Stockton, CA 95209",475000,471076
"10450 Tank House Dr, Stockton, CA 95209-4338",394000,392264
"10804 Tank House, Stockton, CA 95209-4342",369900,368401
"1016 Cypress Run Dr, Stockton, CA 95209-4544",349900,349592
"3470 Tupelo Dr, Stockton, CA 95209-3743",345000,342778
"10162 Macon Dr, Stockton, CA 95209-4525",332800,333326
"2444 Mystic Ct, Stockton, CA 95209-4220",329900,327550
"10331 Lombard Ct, Stockton, CA 95209",329000,326885
"10652 Siskiyou, Stockton, CA 95209",310000,310099
"1363 Green Ridge Dr, Stockton, CA 95209-4537",319500,317190
"10716 Siskiyou Ln, Stockton, CA 95209-3802",339000,338036
"10846 Arrowood Dr, Stockton, CA 95219-7202",345000,342784
"10113 Capetown Ln, Stockton, CA 95219-7255",399950,397327
"10749 Savoy Cir, Stockton, CA 95209-4570",460000,457080
"5334 Asbury Way, Stockton, CA 95219-7162",450000,446911
"10713 Savoy Cir, Stockton, CA 95209-4570",425000,422706
"10482 River Oaks Dr, Stockton, CA 95209-4102",379900,377536
"3641 Oak Shores Dr, Stockton, CA 95209-3763",378000,376054
"166 Villa Point Dr, Stockton, CA 95209",360415,357515
"5449 Ridgeview Cir, Stockton, CA 95219",329000,326748
"10303 Oak Crest Ct, Stockton, CA 95209-4526",320000,318179
"3477 Mesa Verde Cir, Stockton, CA 95209",499000,494551
