Address,Address - Zip Code,# of Garage Spaces,Bathrooms - Full,Bathrooms - Half,Bedrooms,HOA Dues,Listing Price,Price_Per_SQFT_LISTING,Lot Size - Sq Ft,Listing Date,Pending Date,Pool,Selling Date,Selling Price,Selling_Price_Per_Sqft,Square Footage,Year Built
"2497 Central Park Dr Lodi, CA 95242-3210",95242,2,2,0,2,230,269950,160.97,4356,6/16/2009,3/15/2010,YESY,4/7/2010,250000,149.0757305,1677,1993
"325 Leland Ct Lodi, CA 95242-3328",95242,3,3,1,4,0,507500,144.05,10890,10/1/2011,2/8/2012,NONO,2/29/2012,475000,134.8282714,3523,1990
"2462 Central Park Dr, Lodi, CA 95242-3207",95242,2,2,0,2,275,364900,187.03,5445,3/9/2015,3/21/2015,YESY,5/29/2015,364900,187.0322911,1951,1990
"411 Tioga Dr, Lodi, CA 95242-2651",95242,2,2,0,2,0,275000,205.68,9075,7/6/2016,7/10/2016,NONO,8/5/2016,275000,205.684368,1337,1971
"2452 Grenoble Ct Lodi, CA 95242-9171",95242,3,2,1,3,475,499000,174.05,12632,2/14/2011,2/15/2011,NONO,3/17/2011,496000,173.0031392,2867,2000
"2474 Central Park Dr Lodi, CA 95242-3207",95242,2,2,0,2,230,299000,145.08,4356,3/18/2013,5/23/2013,YESY,7/15/2013,290000,140.708394,2061,1992
"903 Cologne Ct Lodi, CA 95242-4119",95242,3,2,1,4,475,449000,175.94,10019,1/22/2013,2/2/2013,NONO,3/5/2013,422000,165.3605016,2552,1992
"2412 Elmwood Ct Lodi, CA 95242-2831",95242,2,2,0,3,0,204950,146.81,5227,12/10/2012,12/17/2012,NONO,1/29/2013,199950,143.230659,1396,1985
"2407 Corbin Ln Lodi, CA 95242-3629",95242,2,3,0,4,0,239900,134.78,5663,3/8/2010,3/14/2010,YESY,4/15/2010,250000,140.4494382,1780,1966
"2424 Cochran Rd #8 Lodi, CA 95242-3657",95242,2,2,0,3,140,160000,110.65,1350,6/13/2012,9/10/2012,NONO,1/15/2013,160000,110.6500692,1446,1991
"631 El Capitan Dr, Lodi, CA 95242-2103",95242,2,1,1,3,0,227900,219.13,5502,6/9/2015,7/20/2015,NONO,9/18/2015,232000,223.0769231,1040,1971
"2401 W Elm St Lodi, CA 95242-2828",95242,2,1,0,2,170,135000,162.06,1742,3/20/2012,3/29/2012,YESY,5/14/2012,132500,159.0636255,833,1976
"2413 Vintage Oaks Ct, Lodi, CA 95242-9347",95242,3,4,1,5,0,759000,224.29,9239,10/16/2015,12/11/2015,NONO,2/1/2016,710000,209.8108747,3384,2006
"2409 W Elm St Lodi, CA 95242-2828",95242,2,2,0,3,170,159000,143.37,2178,5/15/2012,6/5/2012,YESY,7/9/2012,150000,135.2569883,1109,1975
"2467 Macarthur Pkwy Lodi, CA 95242-3253",95242,2,2,0,2,230,349900,182.81,4792,4/12/2010,4/20/2010,YESY,5/7/2010,305000,159.3521421,1914,1992
"412 tioga Dr Lodi, CA 95242",95242,2,2,0,4,0,242800,134.74,5998,1/2/2015,1/5/2015,NONO,2/6/2015,242800,134.7391787,1802,1972
"830 Tehama Dr Lodi, CA 95242-9553",95242,2,2,0,3,0,235000,124.14,15246,1/26/2010,5/25/2010,NONO,5/28/2010,225000,118.858954,1893,1968
"2333 Burton Way Lodi, CA 95242",95242,2,2,0,3,0,240000,152.09,5702,6/30/2014,9/17/2014,NONO,10/24/2014,240000,152.0912548,1578,1975
"2380 Brittany Ln, Lodi, CA 95242",95242,3,4,1,4,0,729000,185.21,15919,7/22/2015,12/3/2015,NONO,1/11/2016,660000,167.6829268,3936,1990
"208 Gramercy Park Dr Lodi, CA 95242-3254",95242,2,2,0,2,230,299000,183.32,4356,9/27/2012,10/5/2012,YESY,10/19/2012,300000,183.9362354,1631,1989
"2442 Central Park Dr Lodi, CA 95242-3205",95242,2,2,0,2,250,300000,183.94,4578,2/9/2014,3/16/2014,YESY,4/25/2014,290000,177.8050276,1631,1989
"2416 Yosemite Dr Lodi, CA 95240-2177",95240,2,2,0,3,0,209000,143.74,6098,1/14/2013,1/19/2013,NONO,2/22/2013,211000,145.1169188,1454,1971
"2495 Macarthur Pkwy Lodi, CA 95242-3253",95242,2,2,0,2,230,266900,140.92,4356,12/2/2011,4/17/2012,YESY,6/27/2012,263500,139.123548,1894,1990
"700 El Capitan Dr Lodi, CA 95242-2104",95242,2,2,0,3,0,179900,116.21,5227,11/10/2010,12/21/2010,NONO,1/28/2011,167000,107.881137,1548,1972
"865 Kristen Ct, Lodi, CA 95242-9554",95242,2,2,1,4,0,419000,218.8,10001,4/24/2015,5/11/2015,NONO,6/12/2015,400000,208.8772846,1915,1971
"868 Tehama Dr, Lodi, CA 95242-9553",95242,2,2,0,4,0,199900,112.37,13939,3/16/2011,3/18/2011,NONO,4/20/2011,180000,101.1804384,1779,1971
"2449 Corbin Ln Lodi, CA 95242-3629",95242,2,2,0,3,0,175000,134.2,5663,7/20/2012,7/28/2012,NONO,10/4/2012,171000,131.1349693,1304,1966
"926 Cologne Ct Lodi, CA 95242-4119",95242,3,3,1,4,450,329900,129.42,10454,6/7/2012,6/20/2012,YESY,7/17/2012,376000,147.508827,2549,2001
"2340 W Lodi Ave, Lodi, CA 95242",95242,2,2,1,5,0,689000,204.33,24498,2/28/2016,7/9/2016,YESY,8/10/2016,665000,197.2123369,3372,1957
"2417 Summerset Ct Lodi, CA 95242-3652",95242,2,2,0,3,330,375000,132.84,9147,9/24/2010,1/26/2011,NONO,1/28/2011,365000,129.2950762,2823,1989
"642 Tahoe Dr Lodi, CA 95242-2155",95242,2,2,0,3,0,159000,157.74,5663,3/29/2010,4/13/2010,NONO,5/20/2010,160000,158.7301587,1008,1972
"320 Tioga Dr Lodi, CA 95242-2648",95242,2,2,0,4,0,254900,160.01,6538,6/27/2014,8/20/2014,YESY,9/22/2014,252000,158.1920904,1593,1975
