Address,Listing Price,Predicted Selling Price
"442 San Pietro Ln, Lodi, CA 95240",309900,308933
"3607 Ignacio Cir, Stockton, CA 95209-3900",288800,284581
"10207 Brando Ct, Stockton, CA 95209-3910",329999,337504
"831 Rubino Ct, Stockton, CA 95209-4355",349000,344844
"3808 Des Moines Dr, Stockton, CA 95209-3756",359900,358845
"3986 Vancouver Cir, Stockton, CA 95209-3732",365000,358845
"3738 Oak Shores Dr, Stockton, CA 95209-3763",369900,371935
"4132 Black Butte Cir, Stockton, CA 95209-3502",387000,388762
"4192 MADDIE Cir, Stockton, CA 95209-3805",395000,388762
"10952 Lands End Dr, Stockton, CA 95209-4289",405000,401120
"3442 Grandi Cir, Stockton, CA 95209-3913",415000,401120
"10118 Kayla Ave, Stockton, CA 95209",442990,423805
"10808 Sand Castle Way, Stockton, CA 95209-4273",460000,450346
"3653 Mammoth Cave Cir, Stockton, CA 95209-3606",485000,482023
"10814 St Moritz Cir, Stockton, CA 95209-4357",929000,710000
"10434 Arianne Dr, Stockton, CA 95209-4377",349000,344844
"6582 Crestview Cir, Stockton, CA 95219",359000,358845
"3831 OAK SHORES DRIVE, Stockton, CA 95209",475000,469890
"10450 Tank House Dr, Stockton, CA 95209-4338",394000,388762
"10804 Tank House, Stockton, CA 95209-4342",369900,371935
"1016 Cypress Run Dr, Stockton, CA 95209-4544",349900,344844
"3470 Tupelo Dr, Stockton, CA 95209-3743",345000,344844
"10162 Macon Dr, Stockton, CA 95209-4525",332800,330449
"2444 Mystic Ct, Stockton, CA 95209-4220",329900,330449
"10331 Lombard Ct, Stockton, CA 95209",329000,323519
"10652 Siskiyou, Stockton, CA 95209",310000,310455
"1363 Green Ridge Dr, Stockton, CA 95209-4537",319500,308933
"10716 Siskiyou Ln, Stockton, CA 95209-3802",339000,330449
"10846 Arrowood Dr, Stockton, CA 95219-7202",345000,344844
"10113 Capetown Ln, Stockton, CA 95219-7255",399950,388762
"10749 Savoy Cir, Stockton, CA 95209-4570",460000,450346
"5334 Asbury Way, Stockton, CA 95219-7162",450000,438176
"10713 Savoy Cir, Stockton, CA 95209-4570",425000,423805
"10482 River Oaks Dr, Stockton, CA 95209-4102",379900,371935
"3641 Oak Shores Dr, Stockton, CA 95209-3763",378000,371935
"166 Villa Point Dr, Stockton, CA 95209",360415,358845
"5449 Ridgeview Cir, Stockton, CA 95219",329000,323519
"10303 Oak Crest Ct, Stockton, CA 95209-4526",320000,310455
"3477 Mesa Verde Cir, Stockton, CA 95209",499000,482023
