Address,Listing Price,Predicted Selling Price
"1890 Summertime Dr, Tracy, CA 95376-9669",429900,424393
"1142 Rivergate Drive #21, Lodi, CA 95240",399000,385530
"2142 Delaware Ave, Stockton, CA 95204-4711",248000,240153
"4465 Oakridge Dr, Tracy, CA 95377",499999,492191
"827 El Dorado, Manteca, CA 95337",324000,311618
"301 W Vine St, Stockton, CA 95203-2527",299000,284560
"3514 Cherryland Ave, Stockton, CA 95215",800000,761391
"3454 Cherryland Ave, Stockton, CA 95215",500000,479218
"14134 Chantilly Ct, Lathrop, CA 95330-9061",355000,347846
"16825 E State Route 88 Hwy, Clements, CA 95227",725000,704785
"8136 N Pershing Ave, Stockton, CA 95209-2542",245000,241288
"101 Raylow Ave, Manteca, CA 95336",349000,340370
"635 Diane Dr, Manteca, CA 95336",265000,257795
"2854 N E St, Stockton, CA 95205-2639",169000,163017
"15944 E Kettleman Ln, Lodi, CA 95240-9730",4995000,2200905
"8703 Cherbourg Way, Stockton, CA 95210-3273",199900,195162
"1029 Milgeo, Ripon, CA 95366",384500,378999
"13712 N DeVries Rd, Lodi, CA 95242-9504",625000,558998
"486 Ore St, Manteca, CA 95336-3416",300000,293476
"926 Kirkwood Dr, Lodi, CA 95242-2328",409000,395683
"4332 Pacific #36, Stockton, CA 95207",55000,52379
"1863 Almondwood Pl, Lodi, CA 95240-8855",249900,243632
"1512 Sandalwood Dr., Stockton, CA 95210",244000,236684
"3838 Portsmouth, Stockton, CA 95219-3844",749000,694332
"720 N Center St, Stockton, CA 95202-1609",145000,139979
"1331 S Pilgrim St, Stockton, CA 95205-6932",179000,175108
"17092 Mello Rd, Ripon, CA 95366-9259",1999000,1730769
"2226 W. Yosemite Ave, Manteca, CA 95337",459000,419947
"3326 Bixby Way, Stockton, CA 95209-1517",289900,284372
"6331 Brook Hollow Cir, Stockton, CA 95219-2441",549990,528889
"2298 Port Trinity Cir, Stockton, CA 95206",199900,195284
"310 Palm Ave, Lodi, CA 95240-1131",299999,286866
"1262 Mirassou Dr, Manteca, CA 95337",402990,392767
"756 W FEDORA Rd, French Camp, CA 95231-9617",267000,274820
"2513 Lotus Way, Tracy, CA 95376",585900,568816
"2182 W Yosemite Ave, Manteca, CA 95337-8333",199900,193158
"18309 Melones Dr, Lathrop, CA 95330",549830,537672
"27258 Lillegard Ct, Tracy, CA 95304-8866",1099000,971888
"4646 Saint Andrews Dr, Stockton, CA 95219-1888",595000,568689
"2484 Milano Ct, Manteca, CA 95337",440000,433187
"1488 ORGULLO Ln, Manteca, CA 95337",395000,387571
"2407 Corbin Lane, Lodi, CA 95242",318000,315426
"3722 W Benjamin Holt Dr #16, Stockton, CA 95219-3338",139950,136467
"2160 Mary Alice Way, Tracy, CA 95377",599000,582378
"3402 Stanfield Dr, Stockton, CA 95209-1525",199990,200877
"21191 S Corral Hollow Rd, Tracy, CA 95304-9462",565000,506818
"3165 Sonata Cir, Stockton, CA 95212-3838",304900,300538
"649 W Viento St, Mountain House, CA 95391-2067",559888,547487
"1625 Sereno Drive, Manteca, CA 95337-8763",384000,380100
"9819 Milan Dr, Stockton, CA 95212-3512",398888,384620
"15000 W Middle Rd, Tracy, CA 95304-9469",699950,656212
"1426 Snead Ct, Manteca, CA 95337-6616",330000,323146
"221 E 7th St, Tracy, CA 95376-4204",389000,369166
"3527 N Beecher Rd, Stockton, CA 95215-9151",1749000,1323309
"1431 Josephine St, Stockton, CA 95206-1120",119950,105893
"1180 N Country Club Blvd, Stockton, CA 95204-5010",349950,337725
"19611 E Liberty Rd, Galt, CA 95227",650000,629697
"2070 Katnich Ln, Lodi, CA 95242-4805",505000,497009
"24421 N Pearl Rd, Acampo, CA 95220-9724",524900,490804
"333 E Cleveland St, Stockton, CA 95204-5444",217500,213590
"8934 W Schulte Rd, Tracy, CA 95304-9148",290000,289526
"9310 cherbourg, Stockton, CA 96210",180000,176926
"263 Tornga Drive, Ripon, CA 95366",569000,555433
"26952 N Thornton Rd, Thornton, CA 95686",595000,551989
"30700 Tressa, Oakdale, CA 95361-7528",865000,823983
"3611 Massimo Cir, Stockton, CA 95212-2734",548000,522470
"721 Rutledge Dr, Lodi, CA 95242",315000,301725
"1618 S Lower Sacramento Rd, Lodi, CA 95242-9571",949000,826789
"3653 Mammoth Cave Cir, Stockton, CA 95209-3606",485000,471821
"5105 Lovely Rd, Tracy, CA 95304",559888,542784
"1023 Cypress Hill Ln, Stockton, CA 95206-6244",314999,308182
"257 Royal Oaks Ct, Lodi, CA 95240",2295000,1945625
"2025 Gordon Verner Cir, Stockton, CA 95206-6101",388888,374605
"4192 Chiavari Way, Manteca, CA 95337-8465",635000,620104
"3358 Jonathen St, Stockton, CA 95206-5915",334900,325082
"5369 N Giovanni Ct, Linden, CA 95236-9308",448500,432443
"2061 Mettler Rd, Lodi, CA 95242-9421",849950,795380
"2336 W Alpine Ave, Stockton, CA 95204",324995,312483
"2171 Ivory Lace Ave, Manteca, CA 95337-8989",349950,346357
"1536 N Hunter, Stockton, CA 95204",499900,471597
"146 W 10th St, Stockton, CA 95206-3108",109950,104472
"870 Rutledge Dr., Lodi, CA 95242",179500,170129
"910 Tehama Dr, Lodi, CA 95242-9553",580000,561905
"1961 Oregano Way, Tracy, CA 95376-6728",505000,498563
"2838 Chauncy Cir, Stockton, CA 95209",239000,233475
"1108 Heartland Dr, Manteca, CA 95337-7952",475000,465366
"3942 Summit Dr, Tracy, CA 95376",559900,540735
"10952 Lands End Dr, Stockton, CA 95209-4289",390000,380767
"2306 Memory Ln, Tracy, CA 95376",569900,556279
"2296 Memory Ln, Tracy, CA 95376",589900,577466
"4120 Comstock Pl, Tracy, CA 95376",649900,624374
"4080 Comstock Pl, Tracy, CA 95376",619900,605034
"357 Santa Clara St, Stockton, CA 95207",234900,231215
"6429 Embarcadero Dr, Stockton, CA 95219-3851",195500,188381
"1125 Havlicek Ln, Lodi, CA 95242-3916",542500,526104
"2765 Inman Ave, Stockton, CA 95204-2648",239999,233223
"516 S Walnut Ave, Ripon, CA 95366-2776",189000,186049
"2545 Sugar Creek Ln, Manteca, CA 95336-8338",559000,546743
"723 Cambridge Dr, Stockton, CA 95207-7512",232000,231448
"1701 Holly Dr, Lodi, CA 95242-2430",298888,297297
"2255 Del Rio Dr, Stockton, CA 95204-1517",189000,184518
"1590 Rosemary Ct, Manteca, CA 95336-2958",314999,313036
"3759 Steve Lillie Cir, Stockton, CA 95206-5130",283900,280287
"986 Lavender St, Manteca, CA 95337",529950,523050
"420 S School St, Lodi, CA 95240-4003",205000,196811
"20941 N East St, Acampo, CA 95220",269000,260069
"4934 Bay View Cir, Stockton, CA 95219-2031",389000,378195
"1129 Augusta Pointe Ct, Ripon, CA 95366",530000,525848
"16788 Ore Claim Trl, Lathrop, CA 95330-8842",430000,420063
"3810 Condor Ct, Stockton, CA 95219-2548",535000,519059
"317 Cordova Ln, Stockton, CA 95207",265000,260454
"8545 Ranch Rd, Tracy, CA 95304-8119",1549000,1397395
"1705 Providence Way, Lodi, CA 95242-4745",499000,477901
"1051 Heartland Dr, Manteca, CA 95337-7951",450000,438373
"2313 Buena Vista Dr, Manteca, CA 95337-7821",540000,532882
"2451 Amatchi Dr, Tracy, CA 95304-5939",615000,600875
"963 Lavendar St, Manteca, CA 95337",459950,452882
"966 Lavendar St, Manteca, CA 95337",468950,458218
"3827 Tudor, Stockton, CA 95219",465000,445450
"19454 Del Rio Dr, Woodbridge, CA 95258-9200",899000,863493
"3046 Ogden Ln, Stockton, CA 95206-6448",260000,257148
"9542 Fairhaven Dr, Stockton, CA 95209-1433",255000,250166
"25303 E Highway 4, Farmington, CA 95230-9677",424900,398294
"2824 W Rose St, Stockton, CA 95203-1120",130650,127161
"3733 Gleneagles Dr, Stockton, CA 95219-1828",570000,553455
"1629 Chaparral Way, Stockton, CA 95209-1306",319000,311508
"4899 Hildreth Ln, Stockton, CA 95212-1408",995000,942022
"530 E Park St, Stockton, CA 95202-2134",198000,193679
"2040 Westport St, Manteca, CA 95337-7970",515000,506941
"2446 Rajkovich Way, Stockton, CA 95212-3027",299900,295900
"1075 N Country Club Blvd, Stockton, CA 95204-5007",285000,277209
"9145 Lorraine Rd, Tracy, CA 95377-8146",425000,411431
"3530 Estate Dr, Stockton, CA 95209-5157",349900,340784
"2570 Porter Way, Stockton, CA 95207-3345",294000,288524
"2108 Van Gogh Ln, Stockton, CA 95206-6066",350000,343714
"534 Micheletos, Manteca, CA 95336-8539",430000,423435
"1026 Windeler Ave, Tracy, CA 95376-3839",349000,340598
"10482 River Oaks Dr, Stockton, CA 95209-4102",379900,370217
"651 Grant Ave, Lodi, CA 95240-0907",338000,321934
"9885 E Louise Ave, Manteca, CA 95336-9167",4250000,2278495
"7011 Leesburg Pl, Stockton, CA 95207-2433",449000,426480
"9560 Enchantment Ln, Stockton, CA 95209-1940",319900,312394
"3808 Des Moines Dr, Stockton, CA 95209-3756",359900,350224
"229 Sanctuary Way, Manteca, CA 95337",599999,580742
"1241 N Stockton St, Stockton, CA 95203-1721",255000,249441
"2627 Indiana St, Stockton, CA 95206-2850",199900,192400
"8462 N El Dorado St, Stockton, CA 95210-2314",194900,191780
"1120 N Airport Way, Stockton, CA 95205-3642",169888,164126
"11220 east Highway 12, Lockeford, CA 95237",355000,342895
"2030 Angelico Cir, Stockton, CA 95207",350000,347151
"9 N Cardinal, Stockton, CA 95215",230000,226007
"2197 Isabel Virginia Dr, Tracy, CA 95377-2282",418000,409205
"1373 Ferngrove Ln, Tracy, CA 95376-5290",428000,416997
"21297 E Copperopolis Rd, Linden, CA 95236-9721",450000,419635
"456 Esperanza Way, Stockton, CA 95207-2211",210000,207712
"1035 S Central Ave, Lodi, CA 95240",225000,219012
"730 Gotham Dr, Stockton, CA 95210-2060",219000,216012
"3314 Dayton Herzog Ln, Stockton, CA 95206-5729",265000,263288
"6717 E Harney Ln, Lodi, CA 95240",899999,860297
"437 Eden St, Lodi, CA 95240",164900,163070
"1985 Birchwood Ct, Tracy, CA 95376-5206",489000,481600
"3943 Monique Cir, Stockton, CA 95204-2320",252000,251823
"529 Marengo Ave, Stockton, CA 95207-3813",206900,199774
"2106 Pedro Ln, Tracy, CA 95377",499950,497850
"5933 SAINT ANDREWS Dr, Stockton, CA 95219-1931",615000,595796
"2857 Princeton Ave, Stockton, CA 95204",190000,187371
"180 Rivergate Pl, Lodi, CA 95240",425000,414021
"2476 Squall Way, Stockton, CA 95206-6164",342000,336973
"819 E Anderson, Stockton, CA 95206",170000,165509
"9613 Deep Water Ln, Stockton, CA 95219",435000,430340
"1526 William Moss Blvd, Stockton, CA 95206-5632",229000,224039
"2567 W Monterey Ave, Stockton, CA 95204-4035",219900,217320
"2319 Meadow Lake Dr, Stockton, CA 95207-4531",499950,478371
"1005 S Pleasant Ave, Lodi, CA 95240",269949,261833
"1300 S school, Lodi, CA 95240",249999,242083
"4060 E Morse Rd, Lodi, CA 95240-9404",679000,654409
"1123 E Washington St, Stockton, CA 95205",120000,114471
"334 Berkshire Ln, Stockton, CA 95207-7466",229900,224673
"22698 N Sowles Rd, Acampo, CA 95220",685000,639286
"3477 Mesa Verde Cir, Stockton, CA 95209",499000,487472
"1463 GUY Pl, Ripon, CA 95366",519000,510121
"35 S Sierra Nevada St, Stockton, CA 95205-5541",95800,90208
"526 S Stanislaus St, Stockton, CA 95203-3718",149900,146713
"9066 Nassano Dr, Stockton, CA 95212",449900,431914
"22275 N Johnson, Clements, CA 95227",549000,517294
"2864 Marietta Ct, Stockton, CA 95207",240000,237888
"418 N ham Ln, Lodi, CA 95242",269950,261481
"3105 Otto, Stockton, CA 95209",333000,327244
"26312 Jones Rd, Escalon, CA 95320-9404",1000000,973456
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",193000,187739
"28146 Treehouse Ln, Tracy, CA 95304",1650000,1479056
"1725 Wagner Heights Rd, Stockton, CA 95209",239900,234689
"16648 N Alpine Rd, Lodi, CA 95240-9332",1650000,1418094
"771 Greenlaven St, Manteca, CA 95336-4452",365999,363745
"424 Bristol Ave, Stockton, CA 95204-4330",309500,300513
"913 Sebastian Ln, Manteca, CA 95336-8259",435000,430140
"2258 Port Trinity Cir, Stockton, CA 95206",230000,225512
"11500 N Alpine Rd, Stockton, CA 95212-9330",1300000,1178339
"1720 Milton St, Stockton, CA 95205-7028",139500,133865
"2624 Presidente St, Stockton, CA 95210-6746",255000,249951
"207 W Rose St, Stockton, CA 95203-2522",725000,660410
"20630 E Acampo Rd, Clements, CA 95227",599000,566739
"24895 E River Rd, Escalon, CA 95320-8656",900000,847783
"3819 Portsmouth, Stockton, CA 95219-3844",599000,571448
"250 Perley Way, Acampo, CA 95220-9180",3300000,2283226
"2460 Van Buskirk St, Stockton, CA 95206",235000,231587
"323 E Vernalis Rd, Tracy, CA 95304-9376",1599999,1482838
"45 Brett Ave, Mountain House, CA 95391-1074",649000,635011
"4140 Spyglass Dr, Stockton, CA 95219",479900,457504
"9401 Stanfield Ct, Stockton, CA 95209-1620",332000,325599
"4355 Aplicella Ct, Manteca, CA 95337-8789",529700,523902
"323 E Vine, Lodi, CA 95240",189900,192041
"1020 Melbourne Ave, Stockton, CA 95203-1324",195000,189437
"2384 Azevedo Ave, Manteca, CA 95337-7814",487000,478953
"420 N oro St, Stockton, CA 95205",184900,175749
"9643 Northridge Way, Stockton, CA 95209-5022",259700,259223
"1245 Perry Ave, Stockton, CA 95203-1110",147500,145734
"425 E Cleveland St, Stockton, CA 95204-5510",147000,145454
"17271 Enterprise Rd, Escalon, CA 95320",625000,584668
"2996 Beaufort Ave, Stockton, CA 95209-2269",255000,251669
"10113 Capetown Ln, Stockton, CA 95219-7255",399950,394167
"2012 Edgewood Dr, Lodi, CA 95242-2307",699900,658092
"1121 S School St, Lodi, CA 95240-5706",349000,341266
"5437 Covey Creek Cir, Stockton, CA 95207-5392",599950,581804
"719 W Vine, Lodi, CA 95240",294888,286999
"2335 W Swain Rd, Stockton, CA 95207",234000,228064
"1608 Brandywine Ct, Lodi, CA 95240-7401",339000,332829
"1909 S B St, Stockton, CA 95206-2468",198000,191200
"4818 Mcdougald Blvd, Stockton, CA 95206-6209",450000,431490
"735 Lakeside Dr #122, Lathrop, CA 95330",484010,477956
"836 Cobblestone Ct, Ripon, CA 95366-2656",374900,371147
"5830 Linda Sue Dr, Stockton, CA 95207-4827",194400,189946
"681 S Bedford Rd, Stockton, CA 95204-5212",231800,229343
"2444 Mystic Ct, Stockton, CA 95209-4220",329900,326446
"1231 Judith Ct, Manteca, CA 95337-5102",340000,332298
"2432 Shropshire Dr, Stockton, CA 95209-1733",315000,306111
"675 Las Brisas, Mountain House, CA 95391",589999,587673
"6224 N El Dorado St, Stockton, CA 95207-2811",204800,198535
"4100 Comstock Pl, Tracy, CA 95376",588800,571548
"1817 Christina Ave, Stockton, CA 95204-1709",241000,236813
"1810 Winding River Ct, Manteca, CA 95337-8249",524900,518318
"2311 Augusta Ave, Tracy, CA 95376",588800,571982
"1768 N San Joaquin St, Stockton, CA 95204-6016",314950,304275
"176 N Sierra Madre St, Mountain House, CA 95391-1142",619000,614691
"4644-4644 woodhollow, Stockton, CA 95206-6242",370000,357898
"616 S Highland Ave, Ripon, CA 95366-9586",624995,612454
"8 Blackberry Ct, Lodi, CA 95242-9517",209000,211551
"220 E Noble St, Stockton, CA 95204-4525",250000,242581
"6290 Chesapeake, Stockton, CA 95219",650000,618108
"106 E 20th St, Tracy, CA 95376-2727",355000,346745
"612 S Central ave, Lodi, CA 95240",178000,171945
"4865 Dandelion Loop, Tracy, CA 95377",489950,485493
"2866 Fox Creek Ct, Stockton, CA 95210-4315",149900,146702
"169 Mulberry Cir, Lodi, CA 95240-7158",239000,236182
"2069 Incline, Lodi, CA 95242",525000,513167
"3175 Admiral Dr, Stockton, CA 95209-1502",329900,320281
"1315 Augusta Pointe, Ripon, CA 95366",630000,616097
"1764 Kayla Ct, Ripon, CA 95366-9305",649000,635468
"6503 Gettysburg Pl, Stockton, CA 95207",234995,232399
"8006 Omega Way, Stockton, CA 95212-2905",255000,252886
"5826 Fillmore Ave, Stockton, CA 95207-4464",224900,221965
"1002 Tenaya Ct, Manteca, CA 95337-5354",325000,319763
"2911 Compton Pl, Tracy, CA 95377",539900,531944
"1203 Vienna Drive, Lodi, CA 95242",730000,706043
"6846 N Alanta Circle Cir, Stockton, CA 95219",332500,329079
"1098 Collins St, Manteca, CA 95337-8640",385000,378914
"2147 E Hazelton, Stockton, CA 95205",225000,207016
"2314 Hollywood, Stockton, CA 95210",150000,146771
"5334 Asbury Way, Stockton, CA 95219-7162",444999,435043
"2025 Superior St, Stockton, CA 95206",130000,129366
"3442 Grandi Cir, Stockton, CA 95209-3913",415000,403768
"2738 E Anita St, Stockton, CA 95205-3847",265000,257853
"15388 Henry Rd, Escalon, CA 95320-9468",699900,674930
"1610 N SAN JOAQUIN St, Stockton, CA 95204-6116",330000,318500
"4001 McDougald Blvd, Stockton, CA 95206-5118",240000,237983
"2844 Admiral Dr, Stockton, CA 95209-1660",330000,324518
"2181 E Tenth Street, Stockton, CA 95206",115000,115471
"2581 Central Park Dr, Lodi, CA 95242-3232",362000,356060
"5733 Leonardini Rd, Stockton, CA 95215",3250000,2273644
"135 E Stadium, Stockton, CA 95204",160000,154192
"1278 Camilla Ct, Manteca, CA 95337-8795",374500,369342
"1277 Camilla Ct, Manteca, CA 95337-8795",375000,371196
"841 La Mesa Way, Manteca, CA 95336-3323",290700,287943
"9046 Chianti Cir, Stockton, CA 95212-3816",299000,297021
"6119 Fillmore Ave, Stockton, CA 95207",209900,207802
"2320 Wagner Heights Rd, Stockton, CA 95209-1738",325000,319207
"1132 Sweetbrier Pl, Manteca, CA 95336",354000,349750
"2558 Sequoia St, Lodi, CA 95242-4687",355000,355215
"413 California Ave, Manteca, CA 95336-5903",284500,277156
"602 Lexington Ave, Stockton, CA 95204-5230",230000,221398
"18738 Olive St, Woodbridge, CA 95258-9282",224900,216548
"2184 E Fremont St, Stockton, CA 95205-5059",155000,148843
"5815 Ruddy Duck Ct, Stockton, CA 95207-4518",475000,454599
"512 Thompson Way, Escalon, CA 95320-1564",345000,341814
"332 N Grant Ave, Manteca, CA 95336-4631",217000,212542
"2304 Del Rio Dr, Stockton, CA 95204-1520",188888,189018
"8222 MANHATTAN, Stockton, CA 95210",165000,161414
"926 Cypress Point Dr, Ripon, CA 95366-9436",685000,669561
"1413 CAT TAIL Dr, Stockton, CA 95204-1764",260000,258578
"1161 Livorno Ct, Manteca, CA 95337-8441",525000,503635
"4680 Eastview Dr, Stockton, CA 95212-2122",240000,233593
"3222 E Collier Rd, Acampo, CA 95220",1125000,936077
"8870 W New Hope Rd, Thornton, CA 95686",299950,281040
"7020 Bridgeport Cir, Stockton, CA 95207-2359",447000,427714
"2962 E Orange St, Acampo, CA 95220",349000,338527
"2135 Inman Ave, Stockton, CA 95204-2822",249950,246374
"2715 Twin Lakes Ct, Stockton, CA 95207-5227",299900,294763
"1960 Monte Diablo Ave, Stockton, CA 95203",220000,218562
"784 Jesse Martinez Dr, Tracy, CA 95304",499000,484132
"2530 Christina Ave, Stockton, CA 95204",170000,167426
"10814 St Moritz Cir, Stockton, CA 95209-4357",929000,904355
"618 Lincoln Ave, Lodi, CA 95240-1027",220000,216877
"1667 Silvershire Dr, Stockton, CA 95206-4511",275000,271574
"9852 Deep Water Ln, Stockton, CA 95219-4994",345000,340713
"3904 Angelina Ln, Stockton, CA 95212-3134",385000,378269
"1672 Springcreek Way, Manteca, CA 95337-6630",414500,410331
"731 Alexandra, Tracy, CA 95304-5809",469950,457230
"2351 Saint Anton Dr, Lodi, CA 95242-9100",659000,642200
"173 N Jack Tone Rd, Stockton, CA 95215-9575",699000,657181
"4715 Tanglewood Ln, Stockton, CA 95207-7400",189900,188442
"1546 W Poplar St, Stockton, CA 95203-2025",169000,164313
"2115 E Washington St, Stockton, CA 95205-5618",124900,117954
"704 Kingery Dr, Ripon, CA 95366-3211",349000,338864
"955 Virginia Ave, Lodi, CA 95242-3583",439950,427429
"2128 Westmora Ave, Stockton, CA 95210-1638",207500,200154
"5144 Pier Dr, Stockton, CA 95206-6160",299900,300475
"6137 Fillmore Ave, Stockton, CA 95207-4403",237950,233807
"2338 Pheasant Run Cir, Stockton, CA 95207-5210",499000,469466
"3731 Saint Andrews Dr, Stockton, CA 95219-1869",579000,558984
"8071 W Erb Way, Tracy, CA 95304-8897",975000,907515
"33701 S Bird Rd, Tracy, CA 95304-9331",499000,485376
"7222 Sharkon Ln, Stockton, CA 95210-4113",239900,230805
"1717 N Hunter St, Stockton, CA 95204-5918",375000,365652
"867 Emigrant St, Manteca, CA 95337-7811",550000,532766
"14625 Avon Ave #2, Lathrop, CA 95330-9797",285000,284423
"6724 Plymouth Rd #87, Stockton, CA 95207-2361",64000,60765
"1421 Park St, Lodi, CA 95242-3838",240000,237990
"691 Queensland Cir, Stockton, CA 95206",300800,293337
"2385 E Woodson Rd, Acampo, CA 95220-9503",580000,564509
"1675 Sallie O Dr, Manteca, CA 95336-2984",338000,330768
"204 Cherry St, Lodi, CA 95240-4804",299950,295355
"842 S Jack Tone Rd, Ripon, CA 95366",375000,373004
"4727 Newton Falls Ln, Stockton, CA 95212",399000,385494
"983 Berkshire Ct, Lathrop, CA 95330-8552",504900,499911
"1220 W Rose St, Stockton, CA 95203-1616",224900,220206
"1121 W Church St, Stockton, CA 95203",175000,169141
